StockCode,Product_Name,Number_Of_Countries_As_Top_10,List_Of_Countries
21212,PACK OF 72 RETROSPOT CAKE CASES,14,"WrappedArray(Portugal, Italy, EIRE, Finland, Germany, Switzerland, Sweden, Netherlands, Belgium, Channel Islands, Norway, United Kingdom, Unspecified, USA)"
84991,60 TEATIME FAIRY CAKE CASES,9,"WrappedArray(Portugal, Channel Islands, EIRE, Norway, Finland, Nigeria, Iceland, Sweden, Unspecified)"
21977,PACK OF 60 PINK PAISLEY CAKE CASES,7,"WrappedArray(EIRE, Finland, Norway, United Kingdom, Unspecified, Sweden, Belgium)"
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,6,"WrappedArray(Canada, United Kingdom, Japan, Spain, Sweden, Unspecified)"
22326,ROUND SNACK BOXES SET OF4 WOODLAND,6,"WrappedArray(Germany, Switzerland, Hong Kong, Netherlands, Israel, Belgium)"
22492,MINI PAINT SET VINTAGE  BOY+ GIRL,6,"WrappedArray(Australia, Japan, Korea, Iceland, Sweden, Belgium)"
84568,GIRLS ALPHABET IRON ON PATCHES,5,"WrappedArray(United Arab Emirates, Germany, Switzerland, Bermuda, Cyprus)"
23084,RABBIT NIGHT LIGHT,5,"WrappedArray(France, Australia, Japan, Iceland, Netherlands)"
22197,SMALL POPCORN HOLDER,5,"WrappedArray(Italy, EIRE, Norway, United Kingdom, Singapore)"
85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,"WrappedArray(United Kingdom, Greece, Singapore, Netherlands, Cyprus)"
21700,BIG DOUGHNUT FRIDGE MAGNETS,4,"WrappedArray(Thailand, United Arab Emirates, Italy, Bermuda)"
22630,DOLLY GIRL LUNCH BOX,4,"WrappedArray(Australia, Brazil, Netherlands, Belgium)"
21731,RED TOADSTOOL LED NIGHT LIGHT,4,"WrappedArray(Australia, Germany, Iceland, Netherlands)"
84879,ASSORTED COLOUR BIRD ORNAMENT,4,"WrappedArray(Austria, United Kingdom, Spain, Cyprus)"
85099B,RED RETROSPOT JUMBO BAG,4,"WrappedArray(Portugal, Channel Islands, United Kingdom, Netherlands)"
20719,WOODLAND CHARLOTTE BAG,4,"WrappedArray(Italy, Germany, Switzerland, Israel)"
21790,VINTAGE SNAP CARDS,3,"WrappedArray(Nigeria, Malta, Singapore)"
22417,PACK OF 60 SPACEBOY CAKE CASES,3,"WrappedArray(Canada, Sweden, Belgium)"
22629,SPACEBOY LUNCH BOX,3,"WrappedArray(Australia, Netherlands, Belgium)"
21976,PACK OF 60 MUSHROOM CAKE CASES,3,"WrappedArray(Iceland, USA, Belgium)"
84992,72 SWEETHEART FAIRY CAKE CASES,3,"WrappedArray(EIRE, Iceland, Unspecified)"
20676,RED SPOTTY BOWL,3,"WrappedArray(RSA, Switzerland, Hong Kong)"
84598,BOYS ALPHABET IRON ON PATCHES,3,"WrappedArray(United Arab Emirates, Bermuda, Cyprus)"
22554,PLASTERS IN TIN WOODLAND ANIMALS,3,"WrappedArray(Germany, Switzerland, Hong Kong)"
16033,MINI HIGHLIGHTER PENS,3,"WrappedArray(Austria, Sweden, Unspecified)"
